Dialogue History,Acts,Belief,Entity,BoW,DB Consistency,Confidence,RANDOM_accuracy,RANDOM_precision,RANDOM_recall,RANDOM_f1,THRESHOLD_accuracy,THRESHOLD_precision,THRESHOLD_recall,THRESHOLD_f1,MAJORITY_accuracy,MAJORITY_precision,MAJORITY_recall,MAJORITY_f1,LOGIT_accuracy,LOGIT_precision,LOGIT_recall,LOGIT_f1,Best Model,Best F1
2,False,False,False,False,False,act + entity,0.27514880952380955,0.2578125,0.17383814102564102,0.18707546797958952,0.43549107142857135,0.4434895833333332,0.41801358363858365,0.3405573593073593,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,LOGIT,0.42843896205965165
1,False,True,False,False,True,none,0.2081845238095238,0.19892939814814814,0.15112179487179486,0.13558407738095238,0.43549107142857135,0.4434895833333332,0.41801358363858365,0.3405573593073593,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,LOGIT,0.42843896205965165
0,True,False,False,True,False,act,0.17299107142857142,0.1449652777777778,0.111071047008547,0.10115947420634919,0.43549107142857135,0.4434895833333332,0.41801358363858365,0.3405573593073593,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,LOGIT,0.42843896205965165
2,False,False,True,True,False,act,0.17351190476190478,0.15494791666666666,0.09751411782661784,0.0986626723057644,0.43549107142857135,0.4434895833333332,0.41801358363858365,0.3405573593073593,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,LOGIT,0.42843896205965165
1,False,False,True,False,True,entity,0.1784970238095238,0.17447916666666666,0.0946762438949939,0.1048078606442577,0.43549107142857135,0.4434895833333332,0.41801358363858365,0.3405573593073593,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,LOGIT,0.42843896205965165
1,False,True,False,False,False,act + entity,0.38422619047619044,0.32430555555555557,0.28765262515262513,0.2628348214285714,0.43549107142857135,0.4434895833333332,0.41801358363858365,0.3405573593073593,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,LOGIT,0.42843896205965165
2,False,False,True,True,False,act + entity,0.2722470238095238,0.26968005952380947,0.21347870879120878,0.19541366436925647,0.43549107142857135,0.4434895833333332,0.41801358363858365,0.3405573593073593,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,LOGIT,0.42843896205965165
2,False,False,False,False,True,act + entity,0.22276785714285713,0.17881944444444442,0.13598042582417583,0.12103516122358034,0.43549107142857135,0.4434895833333332,0.41801358363858365,0.3405573593073593,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,LOGIT,0.42843896205965165
0,True,False,False,True,True,act + entity,0.21034226190476188,0.20312500000000003,0.11528731684981686,0.12783358134920636,0.43549107142857135,0.4434895833333332,0.41801358363858365,0.3405573593073593,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,LOGIT,0.42843896205965165
0,False,False,False,False,False,act,0.14866071428571428,0.15104166666666669,0.08796932234432234,0.08864283103592314,0.43549107142857135,0.4434895833333332,0.41801358363858365,0.3405573593073593,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,LOGIT,0.42843896205965165
0,False,False,False,True,True,act,0.22938988095238091,0.18836805555555558,0.12642990689865688,0.12966367102396514,0.43549107142857135,0.4434895833333332,0.41801358363858365,0.3405573593073593,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,LOGIT,0.42843896205965165
0,False,False,False,True,False,act,0.21577380952380953,0.18836805555555555,0.12064159798534797,0.12587389122315593,0.43549107142857135,0.4434895833333332,0.41801358363858365,0.3405573593073593,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,LOGIT,0.42843896205965165
2,False,True,False,True,False,none,0.313764880952381,0.25911458333333337,0.197286134004884,0.19731712860582834,0.43549107142857135,0.4434895833333332,0.41801358363858365,0.3405573593073593,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,0.7539434523809525,0.3806919642857144,0.4947916666666667,0.4256344748801645,MAJORITY,0.42843896205965165
2,False,True,False,True,True,entity,0.22611607142857146,0.19010416666666666,0.14072802197802198,0.14470413165266105,0.43549107142857135,0.4434895833333332,0.41801358363858365,0.3405573593073593,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,LOGIT,0.42843896205965165
0,False,True,True,False,False,entity,0.2985863095238095,0.2674479166666667,0.18515052655677658,0.1862728077342048,0.43549107142857135,0.4434895833333332,0.41801358363858365,0.3405573593073593,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,LOGIT,0.42843896205965165
0,False,False,True,True,True,entity,0.40029761904761907,0.3120659722222222,0.23568185286935286,0.24101174560733385,0.43549107142857135,0.4434895833333332,0.41801358363858365,0.3405573593073593,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,LOGIT,0.42843896205965165
0,False,True,False,False,False,none,0.30498511904761905,0.2520833333333333,0.1717948717948718,0.1908482142857143,0.43549107142857135,0.4434895833333332,0.41801358363858365,0.3405573593073593,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,LOGIT,0.42843896205965165
1,False,True,False,True,False,act,0.29784226190476193,0.24348958333333331,0.20732028388278387,0.19671889589169,0.43549107142857135,0.4434895833333332,0.41801358363858365,0.3405573593073593,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,LOGIT,0.42843896205965165
