Dialogue History,Acts,Belief,Entity,BoW,DB Consistency,Confidence,RANDOM_accuracy,RANDOM_precision,RANDOM_recall,RANDOM_f1,THRESHOLD_accuracy,THRESHOLD_precision,THRESHOLD_recall,THRESHOLD_f1,MAJORITY_accuracy,MAJORITY_precision,MAJORITY_recall,MAJORITY_f1,LINEARSVM_accuracy,LINEARSVM_precision,LINEARSVM_recall,LINEARSVM_f1,LOGIT_accuracy,LOGIT_precision,LOGIT_recall,LOGIT_f1,RANDOMFOREST_accuracy,RANDOMFOREST_precision,RANDOMFOREST_recall,RANDOMFOREST_f1,MLP_accuracy,MLP_precision,MLP_recall,MLP_f1,NEURAL-DETECTOR_accuracy,NEURAL-DETECTOR_precision,NEURAL-DETECTOR_recall,NEURAL-DETECTOR_f1,Best Model,Best F1
1,False,True,True,True,True,entity,0.5704613095238096,0.5193204365079365,0.5393315018315019,0.4706866804692892,0.5930803571428571,0.6440104166666667,0.7133127289377288,0.5512220418470418,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,0.7805803571428572,0.6369791666666667,0.7393601190476191,0.6636052604802606,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,0.7953125000000001,0.58984375,0.6796875,0.6237080627705628,0.7348958333333334,0.3796367694805196,0.4843063186813187,0.4198243885743886,LOGIT,0.6636052604802606
3,False,False,True,False,False,act,0.4352678571428571,0.36138392857142854,0.34275984432234435,0.32344877344877343,0.5930803571428571,0.6440104166666667,0.7133127289377288,0.5512220418470418,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,0.6786458333333334,0.6223958333333334,0.7004292582417582,0.616700487012987,0.6780505952380953,0.39449482808857816,0.4633012820512821,0.4180328172785069,0.7893601190476193,0.47875744047619057,0.5861378205128205,0.5203694684944685,0.700372023809524,0.39660105519480526,0.48786057692307694,0.42580914421244254,LOGIT,0.616700487012987
1,True,True,True,True,True,entity,0.42976190476190473,0.43494543650793643,0.4591746794871795,0.3639880952380953,0.5930803571428571,0.6440104166666667,0.7133127289377288,0.5512220418470418,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,0.7561755952380954,0.6213541666666667,0.7211309523809524,0.6479667323417324,0.7837053571428574,0.4231026785714287,0.53125,0.4659389620596517,0.8033482142857143,0.5797991071428572,0.6796875,0.615482202982203,0.7390625000000002,0.37978557900432913,0.4865384615384616,0.42097894522463486,LOGIT,0.6479667323417324
3,True,False,False,False,False,act + entity,0.5537202380952381,0.4966145833333333,0.48213713369963374,0.45339556277056275,0.5930803571428571,0.6440104166666667,0.7133127289377288,0.5512220418470418,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,0.6197916666666665,0.5380208333333334,0.5876831501831502,0.517764190821256,0.7542410714285716,0.4537811147186148,0.5774381868131868,0.4981408868908868,0.7651785714285715,0.4834077380952382,0.5840773809523809,0.5220794252044252,0.7606398809523811,0.45024688852813866,0.5794986263736264,0.4950340747215747,THRESHOLD,0.5512220418470418
4,True,False,True,False,False,act + entity,0.5057291666666666,0.48805803571428574,0.5682577838827838,0.4375797099142687,0.5930803571428571,0.6440104166666667,0.7133127289377288,0.5512220418470418,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,0.6200892857142858,0.49114583333333334,0.553926282051282,0.4919427910052909,0.7133928571428572,0.37802770146520154,0.4720581501831502,0.41296192199022036,0.7607142857142858,0.4499255952380954,0.5528273809523809,0.4896720177970178,0.7598958333333335,0.4172855790043291,0.5240384615384616,0.45847894522463484,THRESHOLD,0.5512220418470418
2,False,False,False,False,False,act + entity,0.4426339285714285,0.4488343253968254,0.455088141025641,0.3806783819727183,0.5930803571428571,0.6440104166666667,0.7133127289377288,0.5512220418470418,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,0.6479910714285715,0.63515625,0.7287145146520145,0.586453823953824,0.7758928571428573,0.5195455586080586,0.5702152014652015,0.530353945224635,0.7792410714285716,0.4229309752747254,0.5288461538461539,0.4646925233132129,0.530952380952381,0.33953754578754586,0.3343292124542125,0.3312042124542125,LOGIT,0.586453823953824
4,True,True,True,False,False,act,0.46793154761904765,0.3577628968253968,0.40019459706959704,0.33186390149705364,0.5930803571428571,0.6440104166666667,0.7133127289377288,0.5512220418470418,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,0.657142857142857,0.4981169871794872,0.551963141025641,0.504042913105413,0.762574404761905,0.4341288919413921,0.5556318681318682,0.48003293003292996,0.7547619047619049,0.44694940476190487,0.5528273809523809,0.48798851611351607,0.7643601190476192,0.41752232142857154,0.5264423076923077,0.4599372785579682,THRESHOLD,0.5512220418470418
1,False,True,False,False,True,none,0.43504464285714284,0.3697916666666667,0.39486607142857144,0.3210227272727273,0.5930803571428571,0.6440104166666667,0.7133127289377288,0.5512220418470418,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,0.6316220238095238,0.6008184523809524,0.7081215659340658,0.5744949821716127,0.762574404761905,0.43245478479853494,0.5576923076923077,0.48026085026085025,0.7707589285714287,0.5369791666666668,0.6421130952380952,0.5749403374403375,0.7301339285714288,0.41430938852813864,0.5067307692307692,0.4483105950562847,MLP,0.5749403374403375
5,False,False,True,False,False,act,0.4703125000000001,0.3987847222222223,0.4096039377289377,0.35973290233158656,0.5930803571428571,0.6440104166666667,0.7133127289377288,0.5512220418470418,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,0.6041666666666667,0.5406249999999999,0.5801167582417582,0.5168154761904762,0.6953125000000001,0.4558426816239317,0.5121394230769231,0.4673225900057796,0.7422619047619049,0.4485119047619049,0.540327380952381,0.48280739455308413,0.7420386904761905,0.4381572420634921,0.5378605769230769,0.47241322853391815,THRESHOLD,0.5512220418470418
5,False,False,True,True,False,act,0.4223958333333333,0.4140625,0.42961309523809527,0.3403403157514999,0.5930803571428571,0.6440104166666667,0.7133127289377288,0.5512220418470418,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,0.721577380952381,0.44866071428571436,0.5246279761904762,0.4750505102336998,0.7467261904761907,0.3954384157509159,0.5178571428571428,0.43854432604432597,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,0.762872023809524,0.381436011904762,0.5,0.42843896205965165,THRESHOLD,0.5512220418470418
