Dialogue History,Acts,Belief,Entity,BoW,DB Consistency,Confidence,RANDOM_accuracy,RANDOM_precision,RANDOM_recall,RANDOM_f1,THRESHOLD_accuracy,THRESHOLD_precision,THRESHOLD_recall,THRESHOLD_f1,MAJORITY_accuracy,MAJORITY_precision,MAJORITY_recall,MAJORITY_f1,LOGIT_accuracy,LOGIT_precision,LOGIT_recall,LOGIT_f1,Best Model,Best F1
2,False,False,False,False,False,act + entity,0.41923076923076924,0.43353174603174605,0.4595543345543346,0.3518021243585153,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.7402668759811617,0.5089285714285714,0.5862332112332114,0.5276021317617956,LOGIT,0.5276021317617956
1,False,True,False,False,True,none,0.4815541601255887,0.42482993197278907,0.3901098901098901,0.37561842918985777,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.5789638932496075,0.5100881261595547,0.5251831501831502,0.4488095238095237,LOGIT,0.4488095238095237
0,True,False,False,True,False,act,0.4896389324960754,0.42976190476190473,0.4343711843711843,0.3636103716849059,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.7892464678178965,0.39965986394557823,0.49404761904761907,0.4377560965906831,MAJORITY,0.44085133468592114
2,False,False,True,True,False,act,0.4560439560439561,0.46369047619047615,0.5012210012210011,0.3851354576918487,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,LOGIT,0.44085133468592114
1,False,False,True,False,True,entity,0.3592621664050236,0.4709183673469388,0.516025641025641,0.33628815162428605,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.47872841444270015,0.38662131519274373,0.35805860805860806,0.3279931972789115,MAJORITY,0.44085133468592114
1,False,True,False,False,False,act + entity,0.5172684458398744,0.5302721088435374,0.5905067155067155,0.46224489795918366,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.6601255886970172,0.47386621315192745,0.5158730158730158,0.44666907166907166,RANDOM,0.46224489795918366
2,False,False,True,True,False,act + entity,0.5077708006279436,0.5454365079365079,0.5395299145299146,0.4245047294280031,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,LOGIT,0.44085133468592114
2,False,False,False,False,True,act + entity,0.5652276295133438,0.5178571428571429,0.614163614163614,0.45789290075004363,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.7402668759811617,0.5089285714285714,0.5862332112332114,0.5276021317617956,LOGIT,0.5276021317617956
0,True,False,False,True,True,act + entity,0.5000784929356358,0.43809523809523804,0.4407814407814407,0.39007603041216493,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.7892464678178965,0.39965986394557823,0.49404761904761907,0.4377560965906831,MAJORITY,0.44085133468592114
0,False,False,False,False,False,act,0.6799843014128729,0.6513605442176871,0.7586996336996336,0.6035714285714286,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.9249607535321821,0.7115646258503402,0.7738095238095238,0.7291650844282423,LOGIT,0.7291650844282423
0,False,False,False,True,True,act,0.47080062794348504,0.42984693877551017,0.4758852258852259,0.3761794191360754,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.7463893249607534,0.39529478458049894,0.46825396825396826,0.4236583522297807,MAJORITY,0.44085133468592114
2,False,True,False,True,False,none,0.5983516483516483,0.5059523809523809,0.5547924297924298,0.4734007638142977,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.7672684458398745,0.3984693877551021,0.48214285714285715,0.43072146455605104,RANDOM,0.4734007638142977
2,False,True,False,True,True,entity,0.39301412872841446,0.4113095238095238,0.4902319902319902,0.3207824756696937,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.763971742543171,0.3983250876108019,0.4801587301587301,0.43021459791646127,MAJORITY,0.44085133468592114
0,False,True,True,False,False,entity,0.6312401883830455,0.5231292517006803,0.5135836385836386,0.4931376059195608,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.4753532182103611,0.4588435374149659,0.3827838827838828,0.3872498274672188,RANDOM,0.4931376059195608
0,False,False,True,True,True,entity,0.554945054945055,0.5392857142857143,0.5067155067155068,0.4402597402597403,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.6856357927786499,0.3877594627594627,0.43299755799755807,0.40101961530532965,MAJORITY,0.44085133468592114
0,False,True,False,False,False,none,0.512087912087912,0.44345238095238093,0.4873321123321124,0.4089166368301707,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.3682103610675039,0.2743197278911565,0.2875457875457875,0.24915458937198065,MAJORITY,0.44085133468592114
1,False,True,False,True,False,act,0.45447409733124017,0.4066326530612245,0.4745115995115995,0.35374149659863946,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.8249607535321822,0.4889455782312925,0.5654761904761905,0.5193887496519076,LOGIT,0.5193887496519076
0,False,True,False,False,False,act + entity,0.517817896389325,0.4386054421768707,0.48931623931623935,0.4037105751391465,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.5924646781789639,0.5629251700680271,0.506868131868132,0.47378625134264235,LOGIT,0.47378625134264235
1,False,False,True,False,False,entity,0.3501569858712716,0.3333333333333333,0.35134310134310137,0.25555555555555554,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.4930141287284145,0.3878968253968254,0.36599511599511597,0.3332452981192477,MAJORITY,0.44085133468592114
0,False,True,True,True,False,act + entity,0.5580847723704866,0.4440476190476191,0.4827533577533578,0.41455248766173136,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.7244113029827315,0.3941043083900227,0.4563492063492064,0.41662372019514876,MAJORITY,0.44085133468592114
2,False,True,False,True,True,act,0.5226059654631083,0.47857142857142854,0.5776862026862027,0.4233798782670963,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.7892464678178965,0.39965986394557823,0.49404761904761907,0.4377560965906831,MAJORITY,0.44085133468592114
0,True,False,True,False,False,act,0.39811616954474094,0.3435374149659864,0.38965201465201466,0.29886391803685036,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.6526687598116169,0.4263649049363335,0.46871184371184377,0.4040173694309033,MAJORITY,0.44085133468592114
0,True,False,False,False,False,none,0.53712715855573,0.43849206349206343,0.4606227106227106,0.4007575757575758,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.5883830455259027,0.36684109541252397,0.3734737484737485,0.35707859392069924,MAJORITY,0.44085133468592114
1,True,False,False,False,False,none,0.6210361067503926,0.5958333333333333,0.6370573870573871,0.5409048234678486,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.6991365777080063,0.4496598639455783,0.5595238095238095,0.43897044197796076,RANDOM,0.5409048234678486
2,False,False,True,True,False,entity,0.4914442700156986,0.45816326530612245,0.4357448107448107,0.40565699964196206,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,LOGIT,0.44085133468592114
0,True,False,False,True,True,entity,0.4312401883830455,0.44812925170068024,0.42032967032967034,0.3505639097744361,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.763971742543171,0.3983250876108019,0.4801587301587301,0.43021459791646127,MAJORITY,0.44085133468592114
0,False,False,True,True,True,act,0.5343799058084772,0.4087301587301587,0.4407814407814407,0.3985967114118375,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.7354003139717424,0.3947536590393734,0.46230158730158727,0.42029396299582633,MAJORITY,0.44085133468592114
1,False,False,True,True,False,entity,0.47715855572998433,0.4084467120181406,0.47985347985347987,0.3706535110670449,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.7892464678178965,0.39965986394557823,0.49404761904761907,0.4377560965906831,MAJORITY,0.44085133468592114
0,False,False,False,True,True,none,0.48712715855572997,0.4251700680272109,0.5106837606837608,0.37456828885400323,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.7251962323390895,0.3943611943611944,0.4568070818070818,0.4174449601468235,MAJORITY,0.44085133468592114
2,False,False,True,False,True,act + entity,0.6434850863422292,0.6564625850340136,0.6709401709401709,0.5822661048224959,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.7101255886970173,0.43477891156462584,0.501984126984127,0.4417170908767547,RANDOM,0.5822661048224959
2,False,False,False,True,True,act,0.552668759811617,0.49217687074829936,0.4481074481074481,0.43610812746151095,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,LOGIT,0.44085133468592114
0,True,True,True,True,False,act + entity,0.4302197802197802,0.38333333333333336,0.528998778998779,0.3368112562163867,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.7782574568288855,0.3991187384044527,0.4880952380952381,0.4343917073567286,MAJORITY,0.44085133468592114
0,True,True,False,False,False,act,0.5228414442700157,0.4474206349206349,0.4507020757020757,0.400325864611579,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.6526687598116169,0.4263649049363335,0.46871184371184377,0.4040173694309033,MAJORITY,0.44085133468592114
1,True,False,False,False,False,entity,0.6021193092621664,0.5297619047619048,0.617979242979243,0.4989195678271308,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.6991365777080063,0.4496598639455783,0.5595238095238095,0.43897044197796076,RANDOM,0.4989195678271308
1,False,True,False,False,False,none,0.6626373626373626,0.6203231292517006,0.7234432234432234,0.5863259338823249,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.56138147566719,0.5051278086992372,0.5132783882783883,0.42704081632653057,RANDOM,0.5863259338823249
0,False,False,True,False,False,act,0.4875981161695448,0.5453514739229025,0.6004273504273504,0.42440476190476195,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.6991365777080062,0.6318027210884354,0.6984126984126985,0.585615328002546,LOGIT,0.585615328002546
2,True,False,False,True,False,none,0.5126373626373627,0.4726190476190476,0.6143162393162394,0.42867287265783505,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.7892464678178965,0.39965986394557823,0.49404761904761907,0.4377560965906831,MAJORITY,0.44085133468592114
1,False,False,True,False,False,none,0.5602825745682888,0.5809523809523809,0.5573870573870574,0.4951162283095056,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.5032182103610675,0.3466880341880342,0.31791819291819295,0.3199956905839259,RANDOM,0.4951162283095056
0,True,False,False,False,True,act + entity,0.534850863422292,0.41666666666666663,0.47390109890109894,0.38373015873015875,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.6312401883830455,0.4403388278388279,0.5183150183150184,0.4073660773351176,MAJORITY,0.44085133468592114
0,True,False,False,True,False,act + entity,0.5094976452119309,0.569047619047619,0.5358669108669109,0.44126330019187154,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.7892464678178965,0.39965986394557823,0.49404761904761907,0.4377560965906831,RANDOM,0.44126330019187154
0,False,False,True,False,False,entity,0.4917582417582418,0.5053571428571428,0.6182844932844932,0.42296905266830087,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.43657770800627943,0.47052154195011336,0.5463980463980463,0.3967687074829932,MAJORITY,0.44085133468592114
2,True,False,False,True,False,entity,0.565149136577708,0.5218253968253967,0.4407814407814407,0.4479231086373944,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.7892464678178965,0.39965986394557823,0.49404761904761907,0.4377560965906831,RANDOM,0.4479231086373944
1,True,False,False,True,True,act,0.6361067503924647,0.5345779220779221,0.5767704517704518,0.5057823129251701,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.7782574568288855,0.3991187384044527,0.4880952380952381,0.4343917073567286,RANDOM,0.5057823129251701
0,True,False,False,True,True,act,0.5422291993720565,0.5340136054421769,0.5731074481074482,0.4619137128535625,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.7892464678178965,0.39965986394557823,0.49404761904761907,0.4377560965906831,RANDOM,0.4619137128535625
0,True,True,True,True,False,act,0.5118524332810047,0.5072278911564625,0.5999694749694751,0.4613762171535281,0.4610675039246468,0.5538548752834468,0.6510989010989011,0.411734693877551,0.8002354788069075,0.40011773940345374,0.5,0.44085133468592114,0.763971742543171,0.3983250876108019,0.4801587301587301,0.43021459791646127,RANDOM,0.4613762171535281
